fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,1391448.0,512726.0,878722.0,672880.0,308562.0,364318.0,142955.0,42733.0,83459.0,14.57,323612.0,575013.0,4466332.0,1219638.0,2260203.0,139762.0,1515686.0,775629.0,653246.0,265385.0,-244695.0,-390802.0
2023,1499824.0,535521.0,964303.0,681725.0,286349.0,395376.0,159559.0,41210.0,74670.0,12.8,322702.0,582761.0,4445310.0,1386678.0,2155923.0,209539.0,1309626.0,820188.0,788982.0,400515.0,-277785.0,-502039.0
2024,1729852.0,568340.0,1161512.0,1015829.0,560126.0,455703.0,176141.0,9172.0,335561.0,56.04,324548.0,675888.0,5143604.0,1804402.0,2136421.0,434485.0,1048638.0,1136719.0,983322.0,396799.0,-365332.0,-602698.0
2025,2109728.0,641533.0,1468195.0,1157261.0,630153.0,527108.0,178426.0,113499.0,266952.0,44.37,501982.0,902154.0,5521516.0,1745057.0,1954117.0,215865.0,1000849.0,1490566.0,1222296.0,467142.0,-522926.0,-585345.0
