fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,532902.0,387190.0,145712.0,87278.0,67711.0,19567.0,3256.0,15885.0,48313.0,54.54,69534.0,244327.0,461533.0,133210.0,27402.0,14494.0,1288.0,279245.0,55720.0,10152.0,-50781.0,-2785.0,INR,1.0
2023,519956.0,390276.0,129680.0,54337.0,36166.0,18171.0,3922.0,8276.0,23578.0,26.58,73576.0,234253.0,434236.0,126166.0,25367.0,14285.0,1025.0,266694.0,63764.0,7911.0,-47672.0,-13137.0,INR,1.0
2024,529883.0,388201.0,141682.0,78278.0,59749.0,18529.0,3217.0,14002.0,42515.0,47.91,74070.0,236792.0,444945.0,126740.0,20252.0,4714.0,0.0,273615.0,57857.0,5935.0,-57992.0,-232.0,INR,1.0
2025,568154.0,407939.0,160215.0,87921.0,69105.0,18816.0,3374.0,17676.0,48109.0,54.19,84255.0,275747.0,493694.0,144975.0,21862.0,696.0,15888.0,296154.0,61720.0,6957.0,-51305.0,-4092.0,INR,1.0
