fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,2416362.5,1460401.3,955961.2,338752.3,245338.2,93414.1,62987.0,101597.7,87604.0,7.17,171025.3,866655.4,2880217.4,972951.3,848930.5,265713.7,514463.3,1030821.0,216830.8,141424.9,-69806.9,-186798.4,INR,1.0
2023,2272962.0,1355772.4,917189.6,162488.9,63605.3,98883.6,75075.7,37625.7,-44374.4,-3.62,88550.2,705482.5,2734235.0,984034.8,870821.2,299971.9,515767.3,920357.6,203006.7,182066.0,-110969.9,-142514.4,INR,1.0
2024,2168403.5,1230988.7,937414.8,261802.1,157538.2,104263.9,73409.5,52390.9,34205.1,2.74,112997.1,683915.4,2793948.0,860935.6,948010.5,204120.0,685518.1,911696.3,231375.8,156705.2,-70024.4,-137985.0,INR,1.0
2025,2302934.7,1230924.8,1072009.9,350927.6,231357.5,119570.1,71670.6,50828.7,107938.7,8.65,120721.4,725201.7,3012541.1,969176.4,923816.8,212027.2,637536.7,1021676.5,350644.6,145590.5,-213871.2,-149053.1,INR,1.0
