fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,8778350.0,6718980.0,2059370.0,1533070.0,1130040.0,403030.0,189580.0,203760.0,667020.0,49.295,341560.0,4252960.0,16074310.0,3957430.0,3343920.0,1307900.0,1831760.0,7158720.0,1150320.0,1409880.0,104550.0,-912350.0
2023,9010640.0,6745990.0,2264650.0,1769440.0,1261120.0,508320.0,217720.0,257070.0,696210.0,51.45,935400.0,4701000.0,17559860.0,3973670.0,3461420.0,1019100.0,2227120.0,7934810.0,1587880.0,1528830.0,-166460.0,-1135810.0
2024,9646930.0,7226870.0,2420060.0,1812740.0,1281380.0,531360.0,221210.0,252300.0,696480.0,51.47,1006450.0,4992700.0,19501210.0,4537370.0,3695750.0,1106310.0,2368990.0,8432000.0,1787030.0,1399670.0,-318910.0,-1375350.0
2025,10572190.0,7868240.0,2703950.0,2049060.0,1472180.0,576880.0,240560.0,275520.0,807750.0,59.69,1373270.0,5942490.0,21781400.0,5412540.0,3980000.0,1036700.0,2707510.0,9040300.0,1921130.0,1229160.0,-515490.0,-1010890.0
