fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,440052.2,13258.8,426793.4,392501.0,259167.2,133333.8,84636.7,22818.8,154197.4,16.58,85659.4,253940.2,2522730.6,309710.9,1285838.1,146262.2,1138912.9,830262.9,402028.7,82426.3,-304495.6,-71382.5,INR,1.0
2023,442027.5,14971.6,427055.9,411255.9,278580.9,130952.7,89449.8,29407.9,155731.6,16.74,53694.9,266746.5,2508905.2,358203.2,1270037.1,183816.7,1085544.5,871451.1,372895.0,114096.8,-259033.3,-131143.9,INR,1.0
2024,440729.2,16171.3,424557.9,410410.7,281278.7,129132.0,91099.8,37727.6,155214.4,16.69,67515.4,294992.8,2661071.9,406055.3,1345177.1,211070.1,1098579.5,926628.1,362218.2,241340.4,-123571.8,-235318.0,INR,1.0
2025,447654.3,17451.3,430203.0,398827.3,268420.8,130406.5,95210.5,-13813.1,159279.5,17.13,49333.1,336151.5,2947272.6,540888.1,1515581.0,269372.1,1245593.0,1004940.3,409305.8,372791.1,-40062.6,-353054.6,INR,1.0
