fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,1190403.8,746456.1,443947.7,240884.2,197597.2,43287.0,56994.9,26857.5,102815.0,91.96,34934.1,913254.4,2058917.7,705794.1,922468.5,337396.2,550273.9,563657.9,-70740.2,63045.7,159461.1,-85472.6
2023,1358030.3,842019.5,516010.8,278480.4,233117.8,45362.6,73339.9,37079.7,112686.4,100.7,45301.0,982656.4,2363007.3,755456.5,1066255.2,354835.4,677196.9,661905.5,-56299.5,99459.9,122814.1,-55977.7
2024,1556452.6,963780.7,592671.9,334915.9,279334.1,55581.8,88537.9,50064.5,129291.0,115.06,49238.9,1265732.7,2775862.7,903220.1,1249493.1,414657.6,797071.9,770388.6,31758.1,103919.5,158341.1,-186261.1
2025,1930979.5,1237182.8,693796.7,412284.2,345386.2,66898.0,93538.6,65630.5,170988.5,152.18,42922.4,1471396.2,3176346.4,1160985.6,1339631.5,561445.7,734699.3,930963.5,116573.6,96054.5,53910.4,-177073.9
