fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,1816614.2,1166152.7,650461.5,236709.1,202867.1,33842.0,31776.8,44841.6,104707.2,74.45,169266.9,2222043.2,3303523.1,1620659.9,1206504.4,572957.0,612176.8,893259.5,227769.6,41437.9,-115724.9,-83117.0
2023,2191156.9,1462123.8,729033.1,277283.2,240536.2,36747.0,35365.1,49473.9,130591.1,93.88,119585.0,2185886.0,3401359.7,1771094.6,1163222.2,575328.0,565069.7,863592.4,182662.8,45165.3,-254133.6,21630.4
2024,2542086.5,1711688.9,830397.6,310078.5,269096.3,40982.2,33308.4,58914.0,150371.1,109.28,121870.0,2453417.1,3795241.0,2019709.0,1324089.2,720560.0,575033.4,976556.0,91513.5,44188.3,65566.2,-155081.5
2025,2842251.9,1930488.4,911763.5,331674.5,288227.3,43447.2,28469.2,68164.1,160839.9,116.88,153912.4,3183113.2,4525498.8,2544975.1,1254970.4,579444.3,637385.9,1092898.0,167409.7,48091.9,-21564.3,-117388.4
