fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,2219370.0,1526570.0,692800.0,239290.0,168430.0,70860.0,36020.0,31440.0,100970.0,45.36,213320.0,893110.0,2248170.0,604580.0,602910.0,69010.0,514340.0,948060.0,192080.0,97370.0,-104500.0,-80160.0,INR,1.0
2023,2148070.0,1462230.0,685840.0,253160.0,177950.0,75210.0,37830.0,38570.0,101550.0,45.65,163910.0,823430.0,2319070.0,593510.0,563560.0,71060.0,473950.0,1061460.0,240560.0,157280.0,-108170.0,-142760.0,INR,1.0
2024,2370220.0,1598210.0,772010.0,335470.0,256660.0,78810.0,33290.0,63350.0,160010.0,71.91,223330.0,1019590.0,2659910.0,655160.0,639290.0,57140.0,562170.0,1237090.0,244100.0,206490.0,-18160.0,-247390.0,INR,1.0
2025,2726420.0,1909270.0,817150.0,306240.0,217940.0,88300.0,32980.0,51050.0,133910.0,60.2,227470.0,1410300.0,3477950.0,1165090.0,991610.0,210640.0,755950.0,1365830.0,102500.0,300960.0,200870.0,-265830.0,INR,1.0
