fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,1137648.0,904815.0,232833.0,155365.0,106905.0,48460.0,2523.0,21745.0,82637.0,262.84,41536.0,156692.0,1003854.0,227667.0,12476.0,12158.0,250.0,746002.0,108146.0,80648.0,-12139.0,-88205.0,INR,1.0
2023,1364838.0,1056113.0,308725.0,228739.0,176181.0,52558.0,1936.0,39363.0,134882.0,429.01,91996.0,226338.0,1153508.0,259518.0,1186.0,331.0,677.0,856360.0,168011.0,91999.0,-40620.0,-118648.0,INR,1.0
2024,1474686.0,1136309.0,338377.0,254224.0,198142.0,56082.0,1942.0,51198.0,145002.0,461.2,115211.0,285687.0,1310163.0,296150.0,870.0,0.0,586.0,962399.0,161800.0,106210.0,-41551.0,-144999.0,INR,1.0
2025,1770941.0,1390718.0,380223.0,260989.0,193572.0,67417.0,2387.0,44390.0,146795.0,466.9,173249.0,389574.0,1488810.0,364802.0,1025.0,397.0,628.0,1071563.0,190999.0,103976.0,-44840.0,-147335.0,INR,1.0
