fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,337377.2,240344.0,97033.2,46658.8,39684.9,6973.9,1048.7,10637.2,28099.6,140.49,2263.0,94353.3,239170.3,60126.2,5675.4,2931.5,200.9,166555.7,26138.4,6042.5,-21472.3,-4213.3
2023,375990.3,256327.5,119662.8,59239.3,51665.7,7573.6,763.7,13480.4,37448.3,187.04,6049.1,103154.5,261527.9,70483.7,6064.1,3634.3,0.0,176989.2,49230.7,7878.9,-27165.9,-18278.7
2024,407124.8,270383.6,136741.2,68288.0,60042.1,8245.9,706.5,15577.5,43784.8,218.69,3835.5,134338.9,283903.2,74759.8,6999.3,4567.6,1962.1,192720.4,42973.9,8564.3,-28153.9,-17033.6
2025,470483.9,318009.6,152474.3,83688.4,75138.5,8549.9,782.7,16598.8,57417.3,286.72,6867.1,189045.3,334525.9,99043.3,7786.1,4985.5,2190.6,216111.9,83146.2,11001.0,-35336.9,-44777.7
