fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,353915.2,266577.5,87337.7,81673.4,78814.9,2858.5,395.1,17817.7,60602.1,212.5,52055.0,96503.9,351364.5,52707.4,0.0,0.0,0.0,293615.4,52774.2,11102.0,-71807.0,11995.2
2023,437820.8,323879.5,113941.3,104651.7,101004.0,3647.7,603.6,23318.0,77082.4,272.4,63393.6,118470.1,393656.8,90994.1,17859.0,11525.7,6333.3,289624.1,65515.3,7228.4,-61607.3,-3437.3
2024,492669.5,357732.0,134937.5,110266.6,106124.3,4142.3,3889.0,28988.0,73247.3,262.0,91986.7,194459.3,541986.1,115838.1,92365.2,31537.8,60827.4,351887.4,-14055.7,8738.4,42300.7,-10562.7
2025,603864.3,429770.1,174094.2,157638.3,151191.4,6446.9,11676.0,33770.4,107442.1,384.4,110935.8,340517.3,772229.9,193381.6,226398.5,66416.5,153389.4,388319.9,25966.0,7223.2,50794.5,-70338.8
