fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,1164666.5,672950.6,491715.9,205079.8,159789.7,45290.1,12522.6,36485.1,68272.6,103.47,23125.6,675043.4,3372050.3,695329.9,1030273.7,346354.6,667012.7,787419.9,-126851.4,120361.6,264691.3,-136867.1
2023,1295790.0,740283.6,555506.4,203446.5,153433.3,50013.2,16435.2,37741.6,56244.9,85.15,23876.5,863651.6,4125390.8,924328.4,1371439.1,489857.4,861053.3,886524.0,-107193.3,194850.3,339081.8,-231132.0
2024,1471782.7,861136.6,610646.1,200505.8,135968.5,64537.3,27717.9,30687.3,37056.8,55.5,48827.0,934724.7,5005357.0,1075237.1,1863145.7,597216.1,1239160.9,975092.3,-171697.0,171813.0,429778.9,-239821.0
2025,1739245.3,1016191.7,723053.6,256331.7,179072.3,77259.4,34344.8,41724.6,49664.8,,27841.0,1130662.7,5695545.6,1195998.0,2278420.5,681191.9,1568176.2,1034699.2,-178096.0,156263.0,335229.1,-178032.0
