fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,76650.0,31780.0,44870.0,27120.0,23690.0,3430.0,0.0,5450.0,18240.0,68.69,41360.0,93120.0,144390.0,11010.0,40.0,0.0,30.0,127670.0,24590.0,4730.0,-7970.0,-27070.0
2023,77960.0,32690.0,45270.0,25440.0,21660.0,3780.0,30.0,5630.0,16000.0,60.27,37010.0,96750.0,154700.0,12780.0,30.0,0.0,20.0,135710.0,12610.0,10030.0,-7990.0,-2690.0
2024,93250.0,38700.0,54550.0,33200.0,29180.0,4020.0,20.0,7250.0,21910.0,82.53,35390.0,100810.0,169320.0,14520.0,40.0,20.0,20.0,149690.0,16530.0,14380.0,-7990.0,-8040.0
2025,104760.0,42810.0,61950.0,38740.0,34110.0,4630.0,230.0,8200.0,25680.0,96.75,32360.0,110960.0,200330.0,20430.0,70.0,0.0,50.0,167610.0,27380.0,25200.0,-8040.0,-22190.0
