fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,702452.2,294605.2,407847.0,277673.3,259583.2,18090.1,432.0,64384.0,191916.6,15.46,218736.2,396708.9,858829.8,137394.1,3063.4,356.2,34.9,691552.6,188775.5,27429.9,-130060.3,-57322.9
2023,673910.4,273458.4,400452.0,282557.8,264393.9,18163.9,391.1,62094.6,204587.8,16.38,198931.6,410655.4,918261.6,136904.0,3037.3,98.2,17.6,745070.0,171788.6,35625.3,-185509.6,15627.7
2024,746533.2,323761.0,422772.2,289225.8,269720.0,19505.8,450.6,68904.7,347466.3,27.75,200350.2,438932.8,880906.8,143341.1,2848.4,915.6,0.0,700300.5,176270.4,22787.0,-170374.0,-3641.0
2025,782132.8,330014.6,452118.2,298290.9,281185.6,17105.3,851.7,70152.4,206894.7,16.51,234907.7,507084.1,937923.8,166872.7,23993.6,21265.2,600.0,725073.0,184643.1,21828.9,-161471.2,-23207.4
