fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,404470.0,304110.0,100360.0,51880.0,47470.0,4410.0,3000.0,11730.0,32500.0,36.61,28990.0,224070.0,270230.0,132640.0,93670.0,74940.0,0.0,118510.0,13700.0,4320.0,4570.0,-18110.0,INR,1.0
2023,509360.0,394890.0,114470.0,58260.0,52420.0,5840.0,6190.0,11270.0,34960.0,39.38,27340.0,256080.0,315500.0,165290.0,155280.0,98770.0,33020.0,93930.0,16950.0,6910.0,-13290.0,-1890.0,INR,1.0
2024,602980.0,475150.0,127830.0,61810.0,54880.0,6930.0,9530.0,11980.0,33370.0,37.61,24130.0,344340.0,406470.0,257930.0,207770.0,175010.0,5950.0,116240.0,-5410.0,4940.0,-70.0,5460.0,INR,1.0
2025,873050.0,703640.0,169410.0,88070.0,79810.0,8260.0,11800.0,17280.0,50730.0,57.16,38950.0,507810.0,605610.0,397930.0,306210.0,273550.0,930.0,157030.0,55900.0,9020.0,-21590.0,-29340.0,INR,1.0
