fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,432788.7,119424.2,313364.5,121108.6,95804.3,25304.3,1720.0,8475.9,84735.8,35.3,46237.3,398833.4,807435.9,199070.0,68858.7,61978.8,0.0,559953.8,49593.3,20855.8,23760.7,-79436.8
2023,477584.5,120696.6,356887.9,138831.5,113263.6,25567.9,2384.7,14394.5,95763.8,39.9,92856.5,434749.8,854996.5,169844.0,32736.7,28443.6,13.3,636667.5,121349.8,22018.1,-67101.6,-6902.0
2024,520412.5,121975.1,398437.4,165588.8,139834.9,25753.9,2313.6,27720.3,109290.4,45.6,102687.7,526244.7,921005.8,181942.1,23621.9,18671.1,25.2,722180.2,140720.9,21285.8,-79058.2,-53061.6
2025,582201.1,131731.4,450469.7,183956.4,154577.9,29378.5,3389.1,35543.6,114794.2,47.8,97705.1,638911.9,1087852.2,226220.4,46273.2,40503.5,312.6,835700.9,124191.8,36093.7,-25125.5,-113440.5
