fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,595490.0,327190.0,268300.0,146100.0,134580.0,11520.0,1140.0,32010.0,101200.0,43.07,80430.0,169980.0,730870.0,120280.0,12190.0,980.0,8070.0,503040.0,99910.0,11920.0,-89530.0,-14940.0
2023,609660.0,308920.0,300740.0,154760.0,142600.0,12160.0,3340.0,36440.0,102770.0,43.74,128770.0,213240.0,784990.0,128790.0,14840.0,130.0,11060.0,512180.0,154690.0,14770.0,-100340.0,-53240.0
2024,605730.0,309650.0,296080.0,161720.0,148090.0,13630.0,3810.0,37480.0,106490.0,45.32,120060.0,220510.0,798800.0,165370.0,16480.0,10.0,12430.0,494020.0,118860.0,12750.0,-131010.0,64730.0
2025,637630.0,328360.0,309270.0,156580.0,142220.0,14360.0,4100.0,31600.0,150400.0,64.0,84090.0,190210.0,797520.0,155490.0,14780.0,0.0,11040.0,487380.0,109990.0,13610.0,-108100.0,-36840.0
