fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,2254580.0,1197590.0,1056990.0,627080.0,576860.0,50220.0,7790.0,146040.0,421470.0,115.19,71150.0,1102700.0,1436510.0,435580.0,76880.0,14850.0,62030.0,904240.0,419650.0,31000.0,-478780.0,390.0
2023,2408930.0,1328710.0,1080220.0,677600.0,627750.0,49850.0,7780.0,158980.0,459080.0,125.88,90070.0,1129840.0,1464490.0,461040.0,80210.0,15050.0,65160.0,904890.0,443380.0,26740.0,-485360.0,60260.0
2024,2553240.0,1456830.0,1096410.0,713690.0,661270.0,52420.0,7960.0,165340.0,485530.0,134.19,83310.0,1230110.0,1596290.0,530010.0,93920.0,15540.0,78380.0,947560.0,489080.0,39370.0,-474380.0,-23180.0
2025,2670210.0,1466030.0,1204180.0,722740.0,667140.0,55600.0,12270.0,160330.0,492100.0,136.01,64050.0,1357050.0,1823720.0,609140.0,112830.0,18300.0,94530.0,1072400.0,520940.0,41460.0,-421330.0,-128450.0
