fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,174410.4,83151.8,91258.6,34152.9,17546.2,16606.7,2595.8,2259.0,12707.0,352.18,35492.2,89679.3,263339.4,67321.2,27246.7,19589.7,5808.7,186364.0,25687.4,33144.5,-2767.1,-24144.9
2023,200916.6,86909.4,114007.2,51114.6,32141.4,18973.2,2549.4,5630.4,23957.0,663.98,57025.1,122122.1,279534.7,61278.3,16555.5,7618.4,7130.8,207029.2,33474.9,32003.5,-17100.5,-14184.6
2024,189764.5,76062.1,113702.4,45194.6,15126.8,30067.8,2011.7,1877.1,11227.7,311.18,66604.3,121023.5,284917.6,57561.3,10461.3,903.2,7266.0,215377.5,49203.3,41047.2,-12962.5,-37276.3
2025,205878.3,78527.9,127350.4,52934.8,24995.2,27939.6,2065.1,5443.5,17435.6,483.24,85989.2,151024.9,314756.9,69892.8,18681.4,8648.4,7288.8,232675.3,37940.7,19091.6,-1098.1,-37395.6
