fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,1636460.0,1081660.0,554800.0,193890.0,119150.0,74740.0,62600.0,15160.0,41440.0,17.14,205250.0,681500.0,2110780.0,699630.0,1066050.0,426150.0,619790.0,656950.0,233230.0,147840.0,-59770.0,-107110.0,INR,1.0
2023,1725880.0,1101810.0,624070.0,291830.0,210110.0,81720.0,76310.0,44070.0,88120.0,36.17,76450.0,645340.0,2281980.0,660650.0,1056090.0,358750.0,673250.0,776690.0,120780.0,158010.0,-50050.0,-146380.0,INR,1.0
2024,1665750.0,1076940.0,588810.0,222490.0,129400.0,93090.0,78630.0,15860.0,35040.0,14.32,182290.0,707360.0,2407420.0,606260.0,1192220.0,345080.0,819190.0,794960.0,208990.0,126940.0,-2620.0,-169970.0,INR,1.0
2025,1820370.0,1128590.0,691780.0,471510.0,375500.0,96010.0,83000.0,37420.0,223160.0,91.25,496390.0,1034350.0,2696760.0,693770.0,1190790.0,397410.0,755600.0,1000530.0,251520.0,146540.0,-161110.0,186900.0,INR,1.0
