fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,224731.8,89606.3,135125.5,51521.0,41329.1,10191.9,945.6,12028.6,28019.1,34.69,6276.3,172749.5,294632.8,51096.7,8031.2,5203.6,0.0,234077.8,32376.5,11828.9,-9582.9,-23885.1
2023,254466.3,95923.8,158542.5,68240.5,57730.3,10510.2,711.3,15465.9,41215.5,51.01,6400.7,194414.1,327178.2,52457.7,5594.1,2470.2,0.0,267064.3,41339.1,13493.0,-12004.3,-29880.3
2024,271454.0,97627.4,173826.6,78602.8,68648.3,9954.5,440.2,15297.6,52725.2,65.24,5886.9,232885.2,373870.4,54839.6,4381.9,801.2,119.8,311934.5,50049.8,15482.0,-12927.9,-36911.4
2025,277116.9,104520.9,172596.0,63554.8,52718.6,10836.2,482.3,13538.4,38792.3,48.0,10182.2,241470.3,424959.8,70135.9,6137.7,1405.0,1174.7,344319.5,39400.2,30793.1,-12336.5,-23261.3
