fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,1014560.0,583220.0,431340.0,239860.0,198410.0,41450.0,3530.0,46430.0,148510.0,54.79,201840.0,535770.0,934110.0,214310.0,47860.0,1400.0,21110.0,654050.0,180090.0,16610.0,-158810.0,-39310.0,INR,1.0
2023,1099130.0,576770.0,522360.0,256930.0,215200.0,41730.0,5530.0,52570.0,157020.0,57.86,272550.0,593310.0,997770.0,227260.0,57560.0,1040.0,22230.0,682630.0,224480.0,10480.0,-154640.0,-67230.0,INR,1.0
2024,1170550.0,617400.0,553150.0,279890.0,239050.0,40840.0,6440.0,58620.0,173900.0,64.09,290200.0,621090.0,1055440.0,280390.0,62790.0,22240.0,700.0,696550.0,222610.0,11080.0,-185610.0,-49140.0,INR,1.0
2025,1301440.0,690340.0,611100.0,273260.0,229710.0,43550.0,8690.0,54500.0,166420.0,61.36,306150.0,705420.0,1162580.0,318260.0,52150.0,1220.0,370.0,751650.0,199750.0,14220.0,-193690.0,-14730.0,INR,1.0
