fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,904876.0,645446.0,259430.0,188883.0,155481.0,33402.0,7824.0,33992.0,113500.0,10.34,401866.0,661096.0,1175822.0,267753.0,174666.0,88821.0,61272.0,781164.0,130601.0,14834.0,-60881.0,-84065.0,INR,1.0
2023,897603.0,631497.0,266106.0,189541.0,155470.0,34071.0,8260.0,36089.0,110452.0,10.41,410012.0,650662.0,1152459.0,252458.0,164649.0,79166.0,62300.0,749883.0,176216.0,10510.0,-182567.0,11680.0,INR,1.0
2024,890884.0,617802.0,273082.0,213783.0,184204.0,29579.0,9247.0,42777.0,131354.0,12.52,532373.0,777775.0,1286520.0,286253.0,192035.0,97863.0,63954.0,828309.0,169426.0,15037.0,-63963.0,-80730.0,INR,1.0
2025,926240.0,656192.0,270048.0,210438.0,181331.0,29107.0,7909.0,40767.0,131974.0,12.56,543625.0,826354.0,1419262.0,403232.0,202910.0,165912.0,1962.0,885368.0,149316.0,15603.0,-141260.0,-33423.0,INR,1.0
