fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,159849.0,96416.3,63432.7,34243.9,31984.8,2259.1,1657.1,7164.5,23217.7,96.39,19478.6,47462.3,93527.2,41344.0,30076.2,14389.6,15518.0,35342.7,25262.1,7114.6,-10283.7,-15170.6
2023,165462.1,95481.2,69980.9,33760.7,30756.1,3004.6,1621.4,7792.5,21398.1,88.84,20967.8,48486.6,90735.6,40844.1,20746.3,11461.6,9047.2,39415.2,25729.8,5528.7,-28391.3,4841.5
2024,175350.2,106736.5,68613.7,33761.1,30627.7,3133.4,1362.0,7487.1,21787.3,90.45,13772.9,39136.8,88385.5,36182.6,12641.4,5294.6,7129.4,43557.2,24906.2,3748.5,-27539.0,664.3
2025,188582.1,111985.5,76596.6,37353.6,33985.3,3368.3,1097.5,7517.7,25334.9,105.18,19489.4,46776.6,97319.4,41799.9,13976.1,10890.5,2861.1,51065.6,26116.0,2055.7,-17826.2,-7572.7
