fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,623376.0,128272.5,495103.5,110661.9,81782.0,28879.9,7619.5,23428.5,50639.6,175.54,70297.7,207429.0,913869.6,234317.9,110577.4,45443.7,53564.1,543245.4,90685.1,62001.1,-16310.0,-71870.7,INR,1.0
2023,698095.3,153221.3,544874.0,135273.0,103820.0,31453.0,9597.8,24182.6,70050.0,242.87,64034.9,231583.7,1008020.1,269059.6,114029.5,49906.1,53077.8,602274.8,108975.4,90055.9,-19256.5,-87881.2,INR,1.0
2024,749364.5,175007.8,574356.7,131690.3,91540.8,40149.5,16259.5,14884.9,60391.1,205.13,45557.0,237372.0,1336971.6,323649.7,241021.8,72502.2,157807.7,707062.1,106734.3,91293.3,50757.6,-165044.5,INR,1.0
2025,873835.2,214885.2,658950.0,173827.0,127382.4,46444.6,18110.5,27388.4,81656.4,277.45,52338.0,252474.4,1413760.6,338317.0,237550.9,77618.4,150188.2,766235.4,153158.6,96777.7,-59535.7,-94800.8,INR,1.0
