fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,114265.1,63160.9,51104.2,25987.8,22878.2,3109.6,691.4,5173.5,17071.5,9.61,10516.5,42489.6,136543.7,36094.3,11737.9,7001.8,2988.4,89732.6,14884.3,5090.9,-10352.4,-5865.4
2023,122616.5,64964.1,57652.4,28681.3,24689.2,3992.1,1101.8,5474.3,18426.8,10.38,23231.0,56796.2,151226.8,39304.3,13650.9,6221.0,5359.7,98663.0,20134.7,5638.6,-11611.8,-9717.4
2024,124000.1,65834.9,58165.2,28503.8,24047.8,4456.0,1468.9,5174.7,17676.3,9.95,26555.4,65324.6,162322.8,43184.4,9500.8,4260.9,3037.4,108006.9,19867.5,5695.4,-14053.4,-4491.1
2025,130420.0,68806.2,61613.8,30148.3,25459.0,4689.3,1254.7,5517.4,18950.3,10.66,51478.5,88859.6,174799.1,52390.8,12873.2,10467.2,159.6,114195.2,25786.2,4201.4,-12357.3,-12852.2
