fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,343887.1,212462.9,131424.2,66913.0,58332.8,8580.2,1444.5,14935.0,41064.5,42.82,46312.9,165351.6,257980.0,78959.3,19326.2,8960.6,761.5,159922.3,41934.3,14456.1,-21400.5,-12746.4,INR,1.0
2023,353954.2,201743.0,152211.2,84059.4,75529.4,8530.0,2051.7,17900.8,54602.3,56.94,54263.9,175370.6,299240.9,85009.6,24743.8,10527.6,543.8,187283.0,61036.0,24960.8,-29825.0,-25176.3,INR,1.0
2024,338151.7,195923.6,142228.1,63564.3,53300.9,10263.4,2270.2,13933.6,36672.3,38.25,46915.4,169916.8,303713.7,81412.3,22902.9,6041.3,2596.2,193998.1,44239.6,18300.7,-37525.8,-8741.2,INR,1.0
2025,355409.0,201194.9,154214.1,74277.0,61988.5,12288.5,1954.1,16087.5,43253.5,45.11,86016.4,201846.4,345344.9,91370.3,39289.3,10460.9,12471.7,213715.9,70881.8,14873.2,-23765.1,-13340.7,INR,1.0
