fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,1740761.5,1113815.7,626945.8,500083.9,352161.2,147922.7,108855.3,67961.2,169125.5,17.44,23570.6,699068.6,4479132.5,887701.3,2229131.6,332088.0,1878835.7,1470231.7,471517.8,248185.2,-212167.7,-261451.3,INR,1.0
2023,1767196.1,1108740.8,658455.3,555983.9,393947.6,162036.3,122533.1,68092.0,208118.9,21.46,40649.2,831540.6,4801965.7,1010553.4,2371309.8,448253.3,1902149.7,1607092.7,400991.9,308159.2,-82455.3,-314559.7,INR,1.0
2024,1862462.5,1147270.2,715192.3,604434.0,411054.3,193379.7,126090.2,82451.8,234224.6,24.16,51826.4,933292.8,5243997.0,1036616.7,2500961.5,465212.4,2010538.8,1840711.6,504878.4,413352.5,-40730.0,-458516.2,INR,1.0
2025,1840152.7,1068619.3,771533.4,611833.3,395043.5,216789.8,123707.9,-28764.2,270525.2,27.9,64496.8,945053.5,5586435.6,1171225.4,2710045.8,595945.0,2076637.0,2031756.7,509018.1,440497.8,-113283.6,-375783.8,INR,1.0
