fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2022,141759.0,84741.5,57017.5,43538.6,38276.5,5262.1,280.2,8856.9,29139.4,106.38,888.1,36832.3,191976.4,32345.8,2884.1,1327.4,629.6,149902.8,28226.6,6824.9,-4174.4,-24164.5
2023,162340.2,92197.9,70142.3,58505.0,52529.0,5976.0,508.8,12010.1,40010.1,145.92,1072.1,41513.3,231279.3,35984.1,4194.4,1121.2,1634.6,180455.3,37237.1,8185.1,-8443.6,-28519.7
2024,185382.1,105836.4,79545.7,67167.4,59874.1,7293.3,543.4,11986.3,47344.4,172.37,2189.6,69541.6,271744.1,42657.8,4581.3,821.1,1843.6,212964.9,39799.2,10393.3,-13986.7,-24833.4
2025,229775.7,134156.7,95619.0,80139.6,71735.9,8403.7,715.3,15868.3,55152.3,200.73,2342.9,95542.5,321635.6,50239.8,5139.5,1173.8,2016.3,251001.5,48048.4,12752.6,-19828.7,-29639.8
