fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,245879.0,106536.0,139343.0,74431.0,61795.0,12636.0,1428.0,15300.0,45067.0,54.17,61797.0,204253.0,321854.0,85845.0,13472.0,11190.0,1278.0,230991.0,58875.0,18866.0,-26861.0,-41373.0,INR,1.0
2023,279164.0,115557.0,163607.0,88422.0,73581.0,14841.0,1711.0,16186.0,55684.0,66.918,81470.0,248049.0,387518.0,96039.0,20020.0,12723.0,3800.0,280550.0,45433.0,27435.0,-3763.0,-40283.0,INR,1.0
2024,325535.0,135107.0,190428.0,96671.0,79613.0,17058.0,2829.0,19539.0,56544.0,67.78,57908.0,250112.0,492989.0,130392.0,46766.0,38045.0,3800.0,333388.0,46428.0,34398.0,18911.0,-58077.0,INR,1.0
2025,335933.0,158669.0,177264.0,79160.0,58555.0,20605.0,3738.0,12351.0,42850.0,51.42,87814.0,301975.0,579346.0,167566.0,77341.0,62934.0,12203.0,377063.0,56755.0,38425.0,8290.0,-65513.0,INR,1.0
