fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,reporting_currency,fx_rate_to_inr
2022,1737971.1655578613,1212819.873878479,525151.2916793823,446994.12142944336,396988.80126953125,50005.32015991211,3340.0500106811523,108981.06034851074,284476.830909729,67.7553002166748,225119.37071990967,823179.1826324463,1461224.1646728516,455105.6714553833,96384.30030822754,14409.930046081543,81974.370262146,875283.9627990723,272261.7908706665,30442.170097351074,-313773.84100341797,-20803.74006652832,USD,95.43000030517578
2023,1771371.6656646729,1238204.2539596558,533167.4117050171,474000.8115158081,420082.8613433838,53917.95017242432,5344.080017089844,112321.1103591919,302226.8109664917,72.52680023193359,319499.6410217285,1023200.4632720947,1576789.8950424194,443844.93141937256,95620.86030578613,22426.05007171631,73194.81023406982,1007645.3732223511,300413.64096069336,25384.380081176758,-201929.88064575195,-67564.44021606445,USD,95.43000030517578
2024,1839604.1158828735,1279239.1540908813,560364.9617919922,483352.95154571533,429053.2813720703,54299.67017364502,4676.070014953613,122627.55039215088,301367.9409637451,72.52680023193359,430293.8713760376,1083989.3734664917,1662295.175315857,478295.161529541,91803.6602935791,27388.41008758545,64415.25020599365,1069293.1534194946,415215.9313278198,25098.09008026123,-274361.2508773804,-34450.23011016846,USD,95.43000030517578
2025,1923677.9461517334,1343558.9742965698,580118.9718551636,487170.15155792236,434492.79138946533,52677.36016845703,4485.210014343262,113561.70036315918,316159.59101104736,76.34400024414063,358053.36114501953,1041332.1633300781,1569441.785018921,526391.8816833496,92280.81029510498,31778.190101623535,60502.620193481445,933877.9829864502,385441.771232605,29201.58009338379,-428003.5513687134,954.3000030517578,USD,95.43000030517578
